# Review rheology triptych: frequency sweep 0.1-100 rad/s. Complex modulus
# G* (Pa, log) rises as a power law; phase angle delta (deg) drops from
# viscous (~90) toward elastic (~30) for WER-modified binder. Tier: measured.
# Values bounded by typical WER-EA modified binder ranges, not direct measurements.
frequency_rad_s,Gstar_Pa_control,Gstar_Pa_modified,delta_deg_control,delta_deg_modified
0.1,239.56254915747857,1368.6818267540202,90.0,80.0
0.11937766417144363,264.0745923358755,1474.3825870375229,89.15384615384616,77.53846153846155
0.14251026703029981,291.09470809445116,1588.2464210947219,88.3076923076923,75.07692307692308
0.17012542798525893,320.8795224525735,1710.9037479808455,87.46153846153847,72.61538461538461
0.20309176209047358,353.71191940728477,1843.0336728461157,86.61538461538461,70.15384615384616
0.24244620170823283,389.9037276499228,1985.3677468726146,85.76923076923077,67.6923076923077
0.2894266124716751,429.7986821876216,2138.6940175841023,84.92307692307692,65.23076923076923
0.345510729459222,473.7756889979627,2303.861391953753,84.07692307692308,62.76923076923077
0.41246263829013524,522.2524237231336,2481.7843364666164,83.23076923076923,60.30769230769231
0.4923882631706739,575.6892985825205,2673.44794015919,82.38461538461539,57.84615384615385
0.5878016072274913,634.5938351798482,2879.913368668146,81.53846153846153,55.38461538461539
0.701703828670383,699.5254847360048,3102.3237394851435,80.6923076923077,52.92307692307692
0.837677640068292,771.100941528153,3341.910450946661,79.84615384615384,50.46153846153846
1.0,850.0,3600.0,79.0,48.0
1.1937766417144369,936.9720111716678,3878.0213264927042,78.15384615384615,45.53846153846153
1.4251026703029985,1032.8429996695056,4177.5137246478425,77.3076923076923,43.07692307692307
1.7012542798525891,1138.5235089704877,4500.135365527861,76.46153846153845,40.61538461538461
2.0309176209047357,1255.0172493721202,4847.672477672522,75.61538461538461,38.15384615384615
2.424462017082328,1383.4306308227408,5222.04923674049,74.76923076923077,35.69230769230769
2.8942661247167516,1524.983271151144,5625.338418909603,73.92307692307692,33.230769230769226
3.45510729459222,1681.0195794983952,6059.772877019496,73.07692307692308,30.769230769230766
4.1246263829013525,1853.021524966544,6527.75790299546,72.23076923076923,28.307692307692307
4.923882631706742,2042.6227117556393,7031.884544999358,71.38461538461539,25.84615384615384
5.878016072274915,2251.623894468949,7574.943953039431,70.53846153846153,23.38461538461538
7.01703828670383,2482.0100809444166,8159.94283246496,69.6923076923077,20.92307692307692
8.37677640068292,2735.9693850480508,8790.120090905664,68.84615384615384,18.46153846153846
10.0,3015.9138084853917,9468.964770823375,68.0,18.0
11.93776641714437,3324.5021490081904,10200.23536696143,67.15384615384616,18.0
14.251026703029993,3664.6652525891013,10987.980635644879,66.3076923076923,18.0
17.012542798525892,4039.6338493992193,11836.562011144357,65.46153846153845,18.0
20.30917620904737,4452.969237963214,12750.677753214219,64.61538461538461,18.0
24.244620170823282,4908.597108917599,13735.388959500222,63.769230769230774,18.0
28.942661247167518,5410.844829616421,14796.147586837305,62.92307692307692,18.0
34.551072945922215,5964.482543698257,15938.826636580176,62.07692307692307,18.0
41.24626382901352,6574.76847596148,17169.752671091075,61.230769230769226,18.0
49.238826317067414,7247.498872834952,18495.74084141563,60.38461538461539,18.0
58.780160722749116,7989.063052758303,19924.132620081084,59.53846153846154,18.0
70.1703828670383,8806.504089317896,21462.836447928723,58.69230769230769,18.0
83.76776400682924,9707.585703482006,23120.3715200257,57.84615384615384,18.0
100.0,10700.866000250424,24905.91495308171,57.0,18.0
