dosage_wt,viscosity_Pa_s,bonding_MPa
1.0,2.9499999999999997,1.9920000000000002
1.1724137931034484,3.144114149821641,2.0483360531387103
1.3448275862068966,3.347146254458978,2.1015231456804297
1.5172413793103448,3.559096313912009,2.1516227807618193
1.6896551724137931,3.7799643281807374,2.1986964615195377
1.8620689655172415,4.00975029726516,2.2428056910902456
2.0344827586206895,4.248454221165279,2.284011972610603
2.206896551724138,4.496076099881094,2.3223768092172703
2.3793103448275863,4.752615933412605,2.3579617040469065
2.5517241379310347,5.01807372175981,2.3908281602361727
2.724137931034483,5.292449464922711,2.421037680921727
2.896551724137931,5.575743162901309,2.4486517692402314
3.0689655172413794,5.867954815695601,2.4737319283283448
3.241379310344828,6.169084423305589,2.496339661322727
3.413793103448276,6.479131985731272,2.516536471360039
3.586206896551724,6.798097502972652,2.5343838615769405
3.7586206896551726,7.1259809750297265,2.549943335110091
3.931034482758621,7.462782401902498,2.56327639509615
4.103448275862069,7.808501783590964,2.5744445446717785
4.275862068965518,8.163139120095126,2.583509286973636
4.448275862068966,8.526694411414983,2.5905321251383824
4.620689655172415,8.899167657550537,2.595574562302678
4.793103448275862,9.280558858501784,2.598698101603182
4.9655172413793105,9.670868014268729,2.599964246176555
5.137931034482759,10.070095124851367,2.5994344991594573
5.310344827586207,10.478240190249704,2.5971703636885484
5.482758620689656,10.895303210463736,2.5932333429004877
5.655172413793104,11.321284185493461,2.5876849399319375
5.827586206896552,11.756183115338882,2.5805866579195538
6.0,12.2,2.5720000000000005
