# WER-EA DSC curing exotherm curve.
# Basis: Gaussian exotherm centred at 130 C (epoxy-amine cure);
#   baseline drift + negative peak (exothermic down convention).
temperature_C,heat_flow_mW_mg
25.0,-0.05000961696588682
26.470588235294116,-0.04942496616375783
27.941176470588236,-0.04884157060173543
29.411764705882355,-0.04825983939430275
30.88235294117647,-0.04768030411539223
32.35294117647059,-0.04710365178455671
33.82352941176471,-0.0465307655752864
35.294117647058826,-0.04596277470706988
36.76470588235294,-0.04540111516170233
38.23529411764706,-0.04484760303748022
39.705882352941174,-0.04430452251225896
41.1764705882353,-0.04377473051525462
42.64705882352941,-0.043261780292535884
44.11764705882353,-0.042770066074153255
45.58823529411765,-0.04230499099084724
47.05882352941177,-0.04187316022191979
48.529411764705884,-0.041482601057941736
50.0,-0.04114301110628527
51.470588235294116,-0.04086603522793335
52.94117647058824,-0.0406655709461768
54.411764705882355,-0.040558100990675375
55.88235294117647,-0.040563050318554277
57.352941176470594,-0.04070316338038651
58.82352941176471,-0.041004895576363186
60.294117647058826,-0.04149881079327633
61.76470588235294,-0.04221997465861895
63.23529411764706,-0.04320833074483174
64.70588235294119,-0.04450904447518022
66.1764705882353,-0.04617279701468725
67.64705882352942,-0.04825600908786906
69.11764705882354,-0.05082097258260522
70.58823529411765,-0.05393586612656432
72.05882352941177,-0.05767462972259868
73.52941176470588,-0.06211667317302384
75.0,-0.0673463935798963
76.47058823529412,-0.07345247883984894
77.94117647058823,-0.08052697689811182
79.41176470588235,-0.08866411469576706
80.88235294117648,-0.09795885630229045
82.3529411764706,-0.10850519668217574
83.82352941176471,-0.12039419584449643
85.29411764705883,-0.1337117676380129
86.76470588235294,-0.14853624797228313
88.23529411764707,-0.1649357784753605
89.70588235294119,-0.1829655531692311
91.1764705882353,-0.20266498721035214
92.64705882352942,-0.22405487759907394
94.11764705882354,-0.24713463545989292
95.58823529411765,-0.27187967746541525
97.05882352941177,-0.29823906965793856
98.52941176470588,-0.32613351978727106
100.0,-0.35545381387341296
101.47058823529412,-0.38605978865943696
102.94117647058825,-0.41777992371444295
104.41176470588236,-0.45041162510563804
105.88235294117648,-0.4837222568850158
107.3529411764706,-0.5174509574204158
108.82352941176471,-0.5513112553247849
110.29411764705883,-0.5849944750668439
111.76470588235294,-0.6181738961124658
113.23529411764707,-0.650509602617223
114.70588235294119,-0.6816539343333904
116.1764705882353,-0.7112574246274329
117.64705882352942,-0.7389750894434746
119.11764705882354,-0.7644729127538326
120.58823529411765,-0.7874343604548921
122.05882352941177,-0.8075667465738825
123.52941176470588,-0.8246072736142096
125.0,-0.8383285731975996
126.47058823529413,-0.848543583897976
127.94117647058825,-0.8551096200550379
129.41176470588238,-0.8579315078720338
130.88235294117646,-0.8569636924455336
132.3529411764706,-0.8522112505185656
133.8235294117647,-0.8437297774828753
135.29411764705884,-0.8316241521462054
136.76470588235296,-0.8160462176302166
138.23529411764707,-0.7971914500845487
139.7058823529412,-0.7752947173777271
141.1764705882353,-0.7506252563789213
142.64705882352942,-0.7234810188920974
144.11764705882354,-0.6941825519996249
145.58823529411765,-0.6630665880385954
147.05882352941177,-0.6304795224779197
148.52941176470588,-0.5967709546818165
150.0,-0.5622874573019684
151.47058823529414,-0.5273667254471254
152.94117647058823,-0.4923322376512368
154.41176470588238,-0.45748853797188416
155.8823529411765,-0.42311722337540003
157.3529411764706,-0.3894736940249571
158.82352941176472,-0.35678469729529433
160.29411764705884,-0.32524667034289173
161.76470588235296,-0.29502486180717763
163.23529411764707,-0.2662531915068801
164.7058823529412,-0.2390347884559054
166.1764705882353,-0.21344313259896391
167.64705882352942,-0.18952371461106737
169.11764705882354,-0.16729612098315916
170.58823529411765,-0.14675644832237963
172.05882352941177,-0.12787995107274083
173.52941176470588,-0.11062383032927527
175.0,-0.09493007760145214
176.47058823529412,-0.08072829574366625
177.94117647058823,-0.06793842924564275
179.41176470588238,-0.05647334709677589
180.8823529411765,-0.04624123296421533
182.3529411764706,-0.03714774896038394
183.82352941176472,-0.029097950390543775
185.29411764705884,-0.021997939208764722
186.76470588235296,-0.015756253195824285
188.23529411764707,-0.010284995911849223
189.7058823529412,-0.005500719155704655
191.1764705882353,-0.0013250749406859275
192.64705882352942,0.002314742105959536
194.11764705882354,0.005485738418892744
195.58823529411765,0.008249026340576745
197.05882352941177,0.010659864870693384
198.52941176470588,0.012767811571523652
200.0,0.014616962109838509
